order_id,order_placed_at,order_delivered_at
1523111,2023-03-01 00:00:59,2023-03-01 00:18:07.443132
1523112,2023-03-01 00:03:59,2023-03-01 00:19:34.925241
1523113,2023-03-01 00:07:22,2023-03-01 00:22:28.291385
1523114,2023-03-01 00:07:47,2023-03-01 00:46:19.019399
1523115,2023-03-01 00:09:03,2023-03-01 00:25:13.619056
1523116,2023-03-01 00:09:44,2023-03-01 00:25:17.088349
1523117,2023-03-01 00:11:09,2023-03-01 00:41:54.245295
1523118,2023-03-01 00:13:25,2023-03-01 00:30:38.556491
1523119,2023-03-01 00:15:20,2023-03-01 00:30:28.234367
1523120,2023-03-01 00:15:34,2023-03-01 00:31:53.026195
1523121,2023-03-01 00:21:45,2023-03-01 00:36:48.814636
1523122,2023-03-01 00:22:11,2023-03-01 00:37:33.109414
1523123,2023-03-01 00:25:44,2023-03-01 00:41:35.374214
1523124,2023-03-01 00:29:01,2023-03-01 00:44:16.526633
1523125,2023-03-01 00:30:09,2023-03-01 00:46:41.759340
1523126,2023-03-01 00:37:08,2023-03-01 00:52:57.822137
1523127,2023-03-01 00:37:10,2023-03-01 01:01:14.587491
1523128,2023-03-01 00:41:28,2023-03-01 00:56:32.074381
1523129,2023-03-01 00:43:31,2023-03-01 01:03:52.000746
1523130,2023-03-01 00:51:25,2023-03-01 01:08:04.680446
1523131,2023-03-01 00:54:29,2023-03-01 01:10:11.629524
1523132,2023-03-01 01:03:43,2023-03-01 01:18:47.056011
1523133,2023-03-01 01:07:51,2023-03-01 01:27:43.791029
1523134,2023-03-01 01:09:55,2023-03-01 01:25:23.750560
1523135,2023-03-01 01:11:53,2023-03-01 05:07:54.563978
1523136,2023-03-01 01:14:11,2023-03-01 01:29:16.596709
1523137,2023-03-01 01:15:09,2023-03-01 01:31:00.943355
1523138,2023-03-01 01:16:25,2023-03-01 01:31:34.711870
1523139,2023-03-01 01:16:55,2023-03-01 01:32:10.377301
1523140,2023-03-01 01:17:39,2023-03-01 01:32:50.048967
1523141,2023-03-01 01:17:49,2023-03-01 01:33:02.603454
1523142,2023-03-01 01:18:57,2023-03-01 01:34:00.307219
1523143,2023-03-01 01:19:45,2023-03-01 01:35:42.222578
1523144,2023-03-01 01:29:50,2023-03-01 01:45:09.640916
1523145,2023-03-01 01:32:01,2023-03-01 01:47:29.129556
1523146,2023-03-01 01:33:20,2023-03-01 01:48:35.858652
1523147,2023-03-01 01:34:51,2023-03-01 01:51:05.798284
1523148,2023-03-01 01:35:29,2023-03-01 01:55:46.343422
1523149,2023-03-01 01:36:04,2023-03-01 01:52:05.671788
1523150,2023-03-01 01:39:41,2023-03-01 01:55:19.868467
1523151,2023-03-01 01:40:49,2023-03-01 01:55:52.426244
1523152,2023-03-01 01:43:02,2023-03-01 01:58:39.281447
1523153,2023-03-01 01:46:59,2023-03-01 02:02:35.179119
1523154,2023-03-01 01:47:04,2023-03-01 02:08:47.217009
1523155,2023-03-01 01:51:22,2023-03-01 02:07:15.326310
1523156,2023-03-01 01:56:25,2023-03-01 02:14:11.894440
1523157,2023-03-01 01:57:02,2023-03-01 02:18:09.110939
1523158,2023-03-01 01:57:16,2023-03-01 02:30:19.851911
1523159,2023-03-01 01:59:13,2023-03-01 02:14:15.722263
1523160,2023-03-01 02:00:17,2023-03-01 02:16:11.110822
1523161,2023-03-01 02:02:16,2023-03-01 02:17:50.200447
1523162,2023-03-01 02:05:42,2023-03-01 02:22:45.957734
1523163,2023-03-01 02:05:45,2023-03-01 02:24:39.257216
1523164,2023-03-01 02:05:53,2023-03-01 02:21:00.926581
1523165,2023-03-01 02:06:51,2023-03-01 02:22:00.390249
1523166,2023-03-01 02:08:12,2023-03-01 02:26:30.483289
1523167,2023-03-01 02:14:41,2023-03-01 02:29:52.202549
1523168,2023-03-01 02:16:19,2023-03-01 02:33:34.014499
1523169,2023-03-01 02:19:40,2023-03-01 02:39:58.906260
1523170,2023-03-01 02:23:14,2023-03-01 02:39:32.051051
1523171,2023-03-01 02:23:52,2023-03-01 02:38:52.565486
1523172,2023-03-01 02:23:59,2023-03-01 02:42:30.539604
1523173,2023-03-01 02:24:11,2023-03-01 02:49:45.700703
1523174,2023-03-01 02:30:20,2023-03-01 02:45:25.754060
1523175,2023-03-01 02:31:56,2023-03-01 02:55:45.867570
1523176,2023-03-01 02:32:21,2023-03-01 02:47:47.536266
1523177,2023-03-01 02:35:14,2023-03-01 02:50:47.378590
1523178,2023-03-01 02:35:17,2023-03-01 02:52:11.225086
1523179,2023-03-01 02:36:38,2023-03-01 02:52:06.434555
1523180,2023-03-01 02:42:09,2023-03-01 02:57:15.447494
1523181,2023-03-01 02:43:42,2023-03-01 02:59:14.682570
1523182,2023-03-01 02:45:26,2023-03-01 03:02:00.138822
1523183,2023-03-01 02:52:37,2023-03-01 03:11:56.767246
1523184,2023-03-01 02:57:26,2023-03-01 03:14:17.747953
1523185,2023-03-01 02:58:13,2023-03-01 03:14:38.102301
1523186,2023-03-01 03:02:49,2023-03-01 03:24:36.797827
1523187,2023-03-01 03:05:16,2023-03-01 03:35:47.166291
1523188,2023-03-01 03:07:00,2023-03-01 03:23:24.381129
1523189,2023-03-01 03:08:50,2023-03-01 03:24:13.385694
1523190,2023-03-01 03:09:48,2023-03-01 03:26:23.844438
1523191,2023-03-01 03:14:11,2023-03-01 03:30:22.643739
1523192,2023-03-01 03:15:56,2023-03-01 03:32:20.261850
1523193,2023-03-01 03:16:39,2023-03-01 03:31:58.234875
1523194,2023-03-01 03:17:18,2023-03-01 03:35:21.420219
1523195,2023-03-01 03:24:11,2023-03-01 03:40:20.713046
1523196,2023-03-01 03:31:07,2023-03-01 03:47:21.238064
1523197,2023-03-01 03:31:09,2023-03-01 03:46:11.657293
1523198,2023-03-01 03:35:05,2023-03-01 03:59:49.276674
1523199,2023-03-01 03:38:12,2023-03-01 03:54:16.906226
1523200,2023-03-01 03:39:22,2023-03-01 03:54:24.707777
1523201,2023-03-01 03:40:51,2023-03-01 04:02:07.914431
1523202,2023-03-01 03:40:53,2023-03-01 03:56:15.805691
1523203,2023-03-01 03:41:51,2023-03-01 04:00:20.753927
1523204,2023-03-01 03:42:13,2023-03-01 03:57:27.550621
1523205,2023-03-01 03:50:41,2023-03-01 04:06:38.552637
1523206,2023-03-01 03:53:38,2023-03-01 04:08:43.381854
1523207,2023-03-01 03:54:47,2023-03-01 04:09:48.428497
1523208,2023-03-01 03:55:38,2023-03-01 04:10:41.034465
1523209,2023-03-01 03:56:31,2023-03-01 04:15:17.871936
1523210,2023-03-01 03:56:44,2023-03-01 04:13:05.508350
1523211,2023-03-01 04:06:51,2023-03-01 04:23:47.629407
1523212,2023-03-01 04:13:15,2023-03-01 04:28:44.715261
1523213,2023-03-01 04:13:19,2023-03-01 04:30:07.505153
1523214,2023-03-01 04:14:38,2023-03-01 04:29:56.775889
1523215,2023-03-01 04:18:22,2023-03-01 04:33:58.183698
1523216,2023-03-01 04:25:22,2023-03-01 04:40:23.811154
1523217,2023-03-01 04:27:04,2023-03-01 04:42:05.071803
1523218,2023-03-01 04:29:44,2023-03-01 04:44:44.942226
1523219,2023-03-01 04:31:24,2023-03-01 04:47:58.412728
1523220,2023-03-01 04:33:16,2023-03-01 04:50:03.973640
1523221,2023-03-01 04:37:41,2023-03-01 04:59:07.462194
1523222,2023-03-01 04:42:36,2023-03-01 04:57:37.547482
1523223,2023-03-01 04:45:52,2023-03-01 05:01:52.591075
1523224,2023-03-01 04:47:27,2023-03-01 05:02:56.373278
1523225,2023-03-01 04:48:25,2023-03-01 05:04:55.177325
1523226,2023-03-01 04:54:57,2023-03-01 05:10:57.613890
1523227,2023-03-01 04:55:41,2023-03-01 05:10:42.587815
1523228,2023-03-01 04:59:04,2023-03-01 18:06:52.046891
1523229,2023-03-01 05:00:30,2023-03-01 05:15:40.408462
1523230,2023-03-01 05:00:51,2023-03-01 05:15:54.605064
1523231,2023-03-01 05:05:31,2023-03-01 05:22:48.650703
1523232,2023-03-01 05:05:52,2023-03-01 05:21:16.236755
1523233,2023-03-01 05:06:28,2023-03-01 05:21:37.508648
1523234,2023-03-01 05:07:23,2023-03-01 05:22:42.587735
1523235,2023-03-01 05:08:34,2023-03-01 05:24:15.605410
1523236,2023-03-01 05:10:52,2023-03-01 05:29:59.149059
1523237,2023-03-01 05:15:39,2023-03-01 05:38:49.459946
1523238,2023-03-01 05:17:14,2023-03-01 05:33:32.991585
1523239,2023-03-01 05:18:00,2023-03-01 05:33:34.265944
1523240,2023-03-01 05:19:11,2023-03-01 05:35:02.697498
1523241,2023-03-01 05:19:38,2023-03-01 05:35:34.712719
1523242,2023-03-01 05:21:02,2023-03-01 05:37:21.928321
1523243,2023-03-01 05:22:56,2023-03-01 05:39:05.514058
1523244,2023-03-01 05:23:31,2023-03-01 05:43:01.286120
1523245,2023-03-01 05:27:16,2023-03-01 05:44:48.598256
1523246,2023-03-01 05:39:47,2023-03-01 05:54:52.332886
1523247,2023-03-01 05:41:47,2023-03-01 05:58:07.837512
1523248,2023-03-01 05:44:42,2023-03-01 05:59:51.089051
1523249,2023-03-01 05:49:47,2023-03-01 06:08:11.020244
1523250,2023-03-01 05:53:15,2023-03-01 06:08:17.237352
1523251,2023-03-01 05:53:19,2023-03-01 06:08:23.475246
1523252,2023-03-01 05:58:25,2023-03-01 06:15:06.298410
1523253,2023-03-01 05:59:23,2023-03-01 06:26:18.868653
1523254,2023-03-01 06:05:38,2023-03-01 06:20:43.189046
1523255,2023-03-01 06:05:41,2023-03-01 06:20:41.896530
1523256,2023-03-01 06:08:03,2023-03-01 06:23:30.048760
1523257,2023-03-01 06:09:35,2023-03-01 06:25:27.984631
1523258,2023-03-01 06:10:12,2023-03-01 06:25:19.812372
1523259,2023-03-01 06:13:53,2023-03-01 06:29:16.312852
1523260,2023-03-01 06:14:01,2023-03-01 06:33:55.555724
1523261,2023-03-01 06:16:58,2023-03-01 06:35:45.165392
1523262,2023-03-01 06:31:06,2023-03-01 06:46:43.296592
1523263,2023-03-01 06:32:07,2023-03-01 06:48:48.261311
1523264,2023-03-01 06:32:49,2023-03-01 06:52:03.330949
